t_h,Xylan_gL,Xylose_gL,XOS_gL,X_eng_gL,X_bifido_gL,SCFA_gL,T_C,pH,DO_mgL
0.0,10.0,0.0,0.0,0.09999999999999999,0.0,0.0,29.999999999999996,7.0,7.0
0.1,9.998605963579614,0.001373906140340672,1.91237660423555e-05,0.10144480208279673,0.0,0.0,30.013787708845477,6.985222769302301,6.854657116670416
0.2,9.99716731185706,0.00275117306820165,7.743932100144308e-05,0.10293728835512272,0.0,0.0,30.027573237321615,6.9708822701024,6.740016782377336
0.30000000000000004,9.995683587674069,0.004130836748196081,0.0001762967988469868,0.1044780145117195,0.0,0.0,30.04135660255063,6.956965595328076,6.649582744929766
0.4,9.994154323428083,0.005512033777741291,0.0003169606544684504,0.10606756191541418,0.0,0.0,30.055137822381297,6.943460220787664,6.578245961670023
0.5,9.992579040506472,0.006893997419534466,0.0005006139702958241,0.10770653840981494,0.0,0.0,30.068916915409922,6.930353990519591,6.521966647258161
0.6000000000000001,9.990957248604229,0.00827605492256813,0.0007283616495453268,0.10939557950143297,0.0,0.0,30.082693901014327,6.917635107856325,6.477561135184358
0.7000000000000001,9.989288445163732,0.009657624069597002,0.001001234228341,0.11113534932281639,0.0,0.0,30.09646879938203,6.905292125196593,6.442522964658134
0.8,9.987572114821099,0.011038208958725681,0.001320192409169377,0.11292654160995796,0.0,0.0,30.11024163153943,6.893313932700107,6.414864198530648
0.9,9.985807729003744,0.0124173961956711,0.0016861310605580577,0.11476988045506661,0.0,0.0,30.12401241937484,6.881689749276983,6.393027241297492
1.0,9.983994745499576,0.013794850461815803,0.0020998838366810264,0.11666612113475439,0.0,0.0,30.13778118566415,6.870409112392429,6.375782168449154
1.1,9.98213260810034,0.015170310159654102,0.0025622276530089024,0.11861605084170092,0.0,0.0,30.151547954094138,6.859461868711895,6.362156629193139
1.2000000000000002,9.980220746285765,0.01654358300177195,0.0030738871768420145,0.1206204893763159,0.0,0.0,30.165312749284947,6.848838164977383,6.35138551661172
1.3,9.978258574945091,0.017914541600116456,0.0036355392820560436,0.12268028980382946,0.0,0.0,30.179075596812016,6.838528439138335,6.342864900357317
1.4000000000000001,9.976245494133954,0.01928311910017922,0.004247817427574977,0.12479633908089614,0.0,0.0,30.192836523227427,6.828523411745577,6.336118426587906
