t_h,Xylan_gL,Xylose_gL,XOS_gL,X_eng_gL,X_bifido_gL,SCFA_gL,T_C,pH,DO_mgL
0.0,10.0,0.0,0.0,0.1,0.0,0.0,29.999999999999996,7.0,7.0
0.1,9.999998103954495,1.8686986784311108e-06,2.5979485058755234e-08,0.10147421501986575,0.0,0.0,29.998789525136687,6.98522287952701,6.854665025090341
0.2,9.999996152895589,3.736755248275139e-06,1.0483170440084263e-07,0.10299263065345911,0.0,0.0,29.997580495048382,6.97088237638199,6.740023077857382
0.30000000000000004,9.999994146435451,5.60314483177993e-06,2.3789873156505788e-07,0.10455552432045608,0.0,0.0,29.99637291750281,6.956965698501877,6.649593865353843
0.4,9.99999208417968,7.466995956187854e-06,4.2638314734834396e-07,0.10616317898447841,0.0,0.0,29.995166800325425,6.943460321049647,6.5782631265337645
0.5,9.999989965712597,9.327582874426748e-06,6.713693017071574e-07,0.1078158949872325,0.0,0.0,29.99396215178139,6.93035408780865,6.521990975831801
0.6000000000000001,9.99998779059626,1.1184319284872492e-05,9.738302319918656e-07,0.1095139908619048,0.0,0.0,29.992758980596268,6.917635202340251,6.4775956844086044
0.7000000000000001,9.999985558369659,1.3036750675115205e-05,1.3346356822476031e-06,0.11125780396703913,0.0,0.0,29.99155729597222,6.905292216864341,6.442566075544318
0.8,9.999983268547993,1.4884546490268638e-05,1.754560240702323e-06,0.11304769107657742,0.0,0.0,29.9903571076031,6.893314021650025,6.414917668412839
0.9,9.999980920622093,1.672749283231746e-05,2.2342908216077394e-06,0.11488402883872563,0.0,0.0,29.98915842568631,6.881689835597782,6.393093285908123
1.0,9.999978514057842,1.856548456449892e-05,2.7744347162597725e-06,0.11676721423627352,0.0,0.0,29.987961260934654,6.870409196162004,6.37586119497887
1.1,9.999976048295693,2.0398517811193978e-05,3.3755271734737514e-06,0.11869766496427593,0.0,0.0,29.986765624586198,6.859461950005726,6.362249824546826
1.2000000000000002,9.999973522750247,2.22266825856621e-05,4.038038808542192e-06,0.12067581976352491,0.0,0.0,29.985571528412972,6.84883824386862,6.351493979884147
1.3,9.99997093680988,2.4050155635917052e-05,4.762382759334739e-06,0.12270213871379025,0.0,0.0,29.984378984728707,6.8385285156979805,6.3429895829516365
1.4000000000000001,9.99996828983639,2.5869193555124e-05,5.548921551112157e-06,0.12477710349182027,0.0,0.0,29.983188006395682,6.828523486042544,6.3362604281425146
1.5,9.999965581164709,2.7684126187036085e-05,6.397973647024243e-06,0.1269012175993427,0.0,0.0,29.981998606830828,6.818814149700269,6.330931040463254
1.6,9.99996281010263,2.9495350349885877e-05,7.309819667377675e-06,0.12907500656575582,0.0,0.0,29.980810800011216,6.809391767613052,6.326705213315175
1.7000000000000002,9.99995997593056,3.130332389430927e-05,8.284708267658285e-06,0.13129901812971467,0.0,0.0,29.97962460047899,6.800247859001,6.323349395525003
1.8,9.999957077901291,3.31085601046368e-05,9.322861670731217e-06,0.13357382240338422,0.0,0.0,29.97844002334589,6.791374193729131,6.320679393832838
1.9000000000000001,9.99995411523981,3.491162244751792e-05,1.0424480853294203e-05,0.1359000120227346,0.0,0.0,29.97725708429746,6.782762784899719,6.318549933273094
2.0,9.999951087143078,3.671311966734057e-05,1.1589750390529369e-05,0.1382782022868942,0.0,0.0,29.976075799596906,6.774405881663539,6.316846448295907
2.1,9.999947992779862,3.851370122419049e-05,1.2818842966064073e-05,0.14070903128925197,0.0,0.0,29.974896186088824,6.766295962243578,6.315478579340118
2.2,9.999944831290556,4.031405306707024e-05,1.4111923556890604e-05,0.14319316004270694,0.0,0.0,29.97371826120276,6.7584257271649255,6.314375058099974
2.3000000000000003,9.999941601786997,4.211489372853314e-05,1.546915330910418e-05,0.14573127260139512,0.0,0.0,29.97254204295667,6.750788092675149,6.313479672827237
2.4000000000000004,9.999938303352302,4.391697071615164e-05,1.68906931304847e-05,0.14832407618117907,0.0,0.0,29.97136754996036,6.74337618433134,6.312748063571869
2.5,9.999934935040695,4.57210572775148e-05,1.8376706924722812e-05,0.1509723012774481,0.0,0.0,29.970194801418877,6.7361833309089745,6.31214525777226
2.6,9.99993149587733,4.75279494235624e-05,1.9927364583210468e-05,0.15367670178515908,0.0,0.0,29.969023817135938,6.729203058429479,6.311643704066533
2.7,9.999927984858116,4.9338463113421534e-05,2.154284483157672e-05,0.15643805512525286,0.0,0.0,29.967854617517496,6.72242908418325,6.311221615913144
2.8000000000000003,9.999924400949533,5.115343182188088e-05,2.322333771206386e-05,0.15925716237110754,0.0,0.0,29.966687223575406,6.715855311135883,6.31086180710546
2.9000000000000004,9.999920743088447,5.297370431696796e-05,2.4969046873181786e-05,0.16213484838069045,0.0,0.0,29.96552165693111,6.709475822447679,6.310550719584029
3.0,9.999917010181912,5.4800142660529464e-05,2.678019165450698e-05,0.16507196193466198,0.0,0.0,29.964357939819568,6.703284876147934,6.310277648145902
3.1,9.99991320110697,5.663362042153038e-05,2.865700897710377e-05,0.1680693758810714,0.0,0.0,29.9631960950933,6.697276899966833,6.3100341401952385
