t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
109.0,35.361,35.0,0.8395,83.95,80.0,1,1
110.0,35.355,35.0,0.8396,83.96,80.0,1,1
111.0,35.349,35.0,0.8398,83.98,80.0,1,1
112.0,35.343,35.0,0.84,84.0,80.0,1,1
113.0,35.337,35.0,0.8401,84.01,80.0,1,1
114.0,35.332,35.0,0.8403,84.03,80.0,1,1
115.0,35.326,35.0,0.8405,84.05,80.0,1,1
116.0,35.321,35.0,0.8406,84.06,80.0,1,1
117.0,35.315,35.0,0.8408,84.08,80.0,1,1
118.0,35.31,35.0,0.8409,84.09,80.0,1,1
119.0,35.305,35.0,0.8411,84.11,80.0,1,1
120.0,35.299,35.0,0.8412,84.12,80.0,1,1
121.0,35.694,35.0,0.8414,84.14,0.0,0,1
122.0,35.668,35.0,0.0,0.0,0.0,0,1
123.0,35.641,35.0,0.0,0.0,0.0,0,1
124.0,35.614,35.0,0.0,0.0,0.0,0,1
125.0,35.588,35.0,0.0,0.0,0.0,0,1
126.0,35.561,35.0,0.0,0.0,0.0,0,1
127.0,35.535,35.0,0.0,0.0,0.0,0,1
128.0,35.509,35.0,0.0,0.0,0.0,0,1
129.0,35.482,35.0,0.0,0.0,0.0,0,1
130.0,35.462,35.0,0.0111,1.11,0.0,0,1
131.0,35.464,35.0,0.056,5.6,0.0,0,1
132.0,35.45,35.0,0.026,2.6,0.0,0,1
133.0,35.447,35.0,0.0463,4.63,0.0,0,1
134.0,35.438,35.0,0.0328,3.28,0.0,0,1
135.0,35.433,35.0,0.0421,4.21,0.0,0,1
136.0,35.425,35.0,0.036,3.6,0.0,0,1
137.0,35.419,35.0,0.0403,4.03,0.0,0,1
138.0,35.411,35.0,0.0376,3.76,0.0,0,1
139.0,35.405,35.0,0.0396,3.96,0.0,0,1
140.0,35.398,35.0,0.0385,3.85,0.0,0,1
141.0,35.392,35.0,0.0394,3.94,0.0,0,1
142.0,35.386,35.0,0.039,3.9,0.0,0,1
143.0,35.379,35.0,0.0395,3.95,0.0,0,1
144.0,35.373,35.0,0.0394,3.94,0.0,0,1
145.0,35.367,35.0,0.0397,3.97,0.0,0,1
146.0,35.361,35.0,0.0398,3.98,0.0,0,1
147.0,35.355,35.0,0.04,4.0,0.0,0,1
148.0,35.349,35.0,0.0401,4.01,0.0,0,1
149.0,35.344,35.0,0.0402,4.02,0.0,0,1
150.0,35.338,35.0,0.0404,4.04,0.0,0,1
151.0,35.332,35.0,0.0405,4.05,0.0,0,1
152.0,35.327,35.0,0.0406,4.06,0.0,0,1
153.0,35.321,35.0,0.0408,4.08,0.0,0,1
154.0,35.316,35.0,0.0409,4.09,0.0,0,1
155.0,35.311,35.0,0.0411,4.11,0.0,0,1
156.0,35.306,35.0,0.0412,4.12,0.0,0,1
157.0,35.3,35.0,0.0413,4.13,0.0,0,1
158.0,35.295,35.0,0.0415,4.15,0.0,0,1
159.0,35.291,35.0,0.0416,4.16,0.0,0,1
160.0,35.286,35.0,0.0417,4.17,0.0,0,1
161.0,35.281,35.0,0.0419,4.19,0.0,0,1
162.0,35.276,35.0,0.042,4.2,0.0,0,1
163.0,35.272,35.0,0.0421,4.21,0.0,0,1
164.0,35.267,35.0,0.0423,4.23,0.0,0,1
165.0,35.263,35.0,0.0424,4.24,0.0,0,1
166.0,35.258,35.0,0.0425,4.25,0.0,0,1
167.0,35.254,35.0,0.0426,4.26,0.0,0,1
168.0,35.25,35.0,0.0427,4.27,0.0,0,1
169.0,35.245,35.0,0.0429,4.29,0.0,0,1
170.0,35.241,35.0,0.043,4.3,0.0,0,1
171.0,35.237,35.0,0.0431,4.31,0.0,0,1
172.0,35.233,35.0,0.0432,4.32,0.0,0,1
173.0,35.229,35.0,0.0433,4.33,0.0,0,1
174.0,35.225,35.0,0.0434,4.34,0.0,0,1
175.0,35.222,35.0,0.0435,4.35,0.0,0,1
176.0,35.218,35.0,0.0436,4.36,0.0,0,1
177.0,35.214,35.0,0.0438,4.38,0.0,0,1
178.0,35.211,35.0,0.0439,4.39,0.0,0,1
179.0,35.207,35.0,0.044,4.4,0.0,0,1
180.0,35.204,35.0,0.0441,4.41,0.0,0,1
181.0,35.2,35.0,0.0442,4.42,0.0,0,1
182.0,35.197,35.0,0.0443,4.43,0.0,0,1
183.0,35.193,35.0,0.0443,4.43,0.0,0,1
184.0,35.19,35.0,0.0444,4.44,0.0,0,1
185.0,35.187,35.0,0.0445,4.45,0.0,0,1
186.0,35.184,35.0,0.0446,4.46,0.0,0,1
187.0,35.181,35.0,0.0447,4.47,0.0,0,1
188.0,35.178,35.0,0.0448,4.48,0.0,0,1
189.0,35.175,35.0,0.0449,4.49,0.0,0,1
190.0,35.172,35.0,0.045,4.5,0.0,0,1
191.0,35.169,35.0,0.0451,4.51,0.0,0,1
192.0,35.166,35.0,0.0451,4.51,0.0,0,1
193.0,35.163,35.0,0.0452,4.52,0.0,0,1
194.0,35.16,35.0,0.0453,4.53,0.0,0,1
195.0,35.158,35.0,0.0454,4.54,0.0,0,1
196.0,35.155,35.0,0.0455,4.55,0.0,0,1
197.0,35.152,35.0,0.0455,4.55,0.0,0,1
198.0,35.15,35.0,0.0456,4.56,0.0,0,1
199.0,35.147,35.0,0.0457,4.57,0.0,0,1
200.0,35.145,35.0,0.0458,4.58,0.0,0,1
201.0,35.142,35.0,0.0458,4.58,0.0,0,1
202.0,35.14,35.0,0.0459,4.59,0.0,0,1
203.0,35.138,35.0,0.046,4.6,0.0,0,1
204.0,35.135,35.0,0.046,4.6,0.0,0,1
