t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
474.0,35.001,35.0,0.05,5.0,0.0,0,1
475.0,35.001,35.0,0.05,5.0,0.0,0,1
476.0,35.001,35.0,0.05,5.0,0.0,0,1
477.0,35.001,35.0,0.05,5.0,0.0,0,1
478.0,35.001,35.0,0.05,5.0,0.0,0,1
479.0,35.001,35.0,0.05,5.0,0.0,0,1
480.0,35.001,35.0,0.05,5.0,0.0,0,1
481.0,35.001,35.0,0.05,5.0,0.0,0,1
482.0,35.001,35.0,0.05,5.0,0.0,0,1
483.0,35.001,35.0,0.05,5.0,0.0,0,1
484.0,35.001,35.0,0.05,5.0,0.0,0,1
485.0,35.001,35.0,0.05,5.0,0.0,0,1
486.0,35.001,35.0,0.05,5.0,0.0,0,1
487.0,35.001,35.0,0.05,5.0,0.0,0,1
488.0,35.001,35.0,0.05,5.0,0.0,0,1
489.0,35.001,35.0,0.05,5.0,0.0,0,1
490.0,35.001,35.0,0.05,5.0,0.0,0,1
491.0,35.001,35.0,0.05,5.0,0.0,0,1
492.0,35.001,35.0,0.05,5.0,0.0,0,1
493.0,35.001,35.0,0.05,5.0,0.0,0,1
494.0,35.001,35.0,0.05,5.0,0.0,0,1
495.0,35.001,35.0,0.05,5.0,0.0,0,1
496.0,35.001,35.0,0.05,5.0,0.0,0,1
497.0,35.001,35.0,0.05,5.0,0.0,0,1
498.0,35.001,35.0,0.05,5.0,0.0,0,1
499.0,35.001,35.0,0.05,5.0,0.0,0,1
500.0,35.001,35.0,0.05,5.0,0.0,0,1
501.0,35.001,35.0,0.05,5.0,0.0,0,1
502.0,35.001,35.0,0.05,5.0,0.0,0,1
503.0,35.001,35.0,0.05,5.0,0.0,0,1
504.0,35.001,35.0,0.05,5.0,0.0,0,1
505.0,35.001,35.0,0.05,5.0,0.0,0,1
506.0,35.001,35.0,0.05,5.0,0.0,0,1
507.0,35.001,35.0,0.05,5.0,0.0,0,1
508.0,35.001,35.0,0.05,5.0,0.0,0,1
509.0,35.001,35.0,0.05,5.0,0.0,0,1
510.0,35.001,35.0,0.05,5.0,0.0,0,1
511.0,35.001,35.0,0.05,5.0,0.0,0,1
512.0,35.001,35.0,0.05,5.0,0.0,0,1
513.0,35.001,35.0,0.05,5.0,0.0,0,1
514.0,35.001,35.0,0.05,5.0,0.0,0,1
515.0,35.001,35.0,0.05,5.0,0.0,0,1
516.0,35.001,35.0,0.05,5.0,0.0,0,1
517.0,35.001,35.0,0.05,5.0,0.0,0,1
518.0,35.001,35.0,0.05,5.0,0.0,0,1
519.0,35.001,35.0,0.05,5.0,0.0,0,1
520.0,35.001,35.0,0.05,5.0,0.0,0,1
521.0,35.001,35.0,0.05,5.0,0.0,0,1
522.0,35.001,35.0,0.05,5.0,0.0,0,1
523.0,35.001,35.0,0.05,5.0,0.0,0,1
524.0,35.001,35.0,0.05,5.0,0.0,0,1
525.0,35.001,35.0,0.05,5.0,0.0,0,1
526.0,35.001,35.0,0.05,5.0,0.0,0,1
527.0,35.001,35.0,0.05,5.0,0.0,0,1
528.0,35.001,35.0,0.05,5.0,0.0,0,1
529.0,35.001,35.0,0.05,5.0,0.0,0,1
530.0,35.001,35.0,0.05,5.0,0.0,0,1
531.0,35.001,35.0,0.05,5.0,0.0,0,1
532.0,35.001,35.0,0.05,5.0,0.0,0,1
533.0,35.0,35.0,0.05,5.0,0.0,0,1
534.0,35.0,35.0,0.05,5.0,0.0,0,1
535.0,35.0,35.0,0.05,5.0,0.0,0,1
536.0,35.0,35.0,0.05,5.0,0.0,0,1
537.0,35.0,35.0,0.05,5.0,0.0,0,1
538.0,35.0,35.0,0.05,5.0,0.0,0,1
539.0,35.0,35.0,0.05,5.0,0.0,0,1
540.0,35.0,35.0,0.05,5.0,0.0,0,1
541.0,35.0,35.0,0.05,5.0,0.0,0,1
542.0,35.0,35.0,0.05,5.0,0.0,0,1
543.0,35.0,35.0,0.05,5.0,0.0,0,1
544.0,35.0,35.0,0.05,5.0,0.0,0,1
545.0,35.0,35.0,0.05,5.0,0.0,0,1
546.0,35.0,35.0,0.05,5.0,0.0,0,1
547.0,35.0,35.0,0.05,5.0,0.0,0,1
548.0,35.0,35.0,0.05,5.0,0.0,0,1
549.0,35.0,35.0,0.05,5.0,0.0,0,1
550.0,35.0,35.0,0.05,5.0,0.0,0,1
551.0,35.0,35.0,0.05,5.0,0.0,0,1
552.0,35.0,35.0,0.05,5.0,0.0,0,1
553.0,35.0,35.0,0.05,5.0,0.0,0,1
554.0,35.0,35.0,0.05,5.0,0.0,0,1
555.0,35.0,35.0,0.05,5.0,0.0,0,1
556.0,35.0,35.0,0.05,5.0,0.0,0,1
557.0,35.0,35.0,0.05,5.0,0.0,0,1
558.0,35.0,35.0,0.05,5.0,0.0,0,1
559.0,35.0,35.0,0.05,5.0,0.0,0,1
560.0,35.0,35.0,0.05,5.0,0.0,0,1
561.0,35.0,35.0,0.05,5.0,0.0,0,1
562.0,35.0,35.0,0.05,5.0,0.0,0,1
563.0,35.0,35.0,0.05,5.0,0.0,0,1
564.0,35.0,35.0,0.05,5.0,0.0,0,1
565.0,35.0,35.0,0.05,5.0,0.0,0,1
566.0,35.0,35.0,0.05,5.0,0.0,0,1
567.0,35.0,35.0,0.05,5.0,0.0,0,1
568.0,35.0,35.0,0.05,5.0,0.0,0,1
569.0,35.0,35.0,0.05,5.0,0.0,0,1
570.0,35.0,35.0,0.05,5.0,0.0,0,1
571.0,35.0,35.0,0.05,5.0,0.0,0,1
572.0,35.0,35.0,0.05,5.0,0.0,0,1
573.0,35.0,35.0,0.05,5.0,0.0,0,1
574.0,35.0,35.0,0.05,5.0,0.0,0,1
575.0,35.0,35.0,0.05,5.0,0.0,0,1
576.0,35.0,35.0,0.05,5.0,0.0,0,1
577.0,35.0,35.0,0.05,5.0,0.0,0,1
578.0,35.0,35.0,0.05,5.0,0.0,0,1
579.0,35.0,35.0,0.05,5.0,0.0,0,1
580.0,35.0,35.0,0.05,5.0,0.0,0,1
581.0,35.0,35.0,0.05,5.0,0.0,0,1
582.0,35.0,35.0,0.05,5.0,0.0,0,1
583.0,35.0,35.0,0.05,5.0,0.0,0,1
584.0,35.0,35.0,0.05,5.0,0.0,0,1
585.0,35.0,35.0,0.05,5.0,0.0,0,1
586.0,35.0,35.0,0.05,5.0,0.0,0,1
587.0,35.0,35.0,0.05,5.0,0.0,0,1
588.0,35.0,35.0,0.05,5.0,0.0,0,1
589.0,35.0,35.0,0.05,5.0,0.0,0,1
590.0,35.0,35.0,0.05,5.0,0.0,0,1
591.0,35.0,35.0,0.05,5.0,0.0,0,1
592.0,35.0,35.0,0.05,5.0,0.0,0,1
593.0,35.0,35.0,0.05,5.0,0.0,0,1
594.0,35.0,35.0,0.05,5.0,0.0,0,1
595.0,35.0,35.0,0.05,5.0,0.0,0,1
596.0,35.0,35.0,0.05,5.0,0.0,0,1
597.0,35.0,35.0,0.05,5.0,0.0,0,1
598.0,35.0,35.0,0.05,5.0,0.0,0,1
599.0,35.0,35.0,0.05,5.0,0.0,0,1
600.0,35.0,35.0,0.05,5.0,0.0,0,1
601.0,35.0,35.0,0.05,5.0,0.0,0,1
602.0,35.0,35.0,0.05,5.0,0.0,0,1
603.0,35.0,35.0,0.05,5.0,0.0,0,1
604.0,35.0,35.0,0.05,5.0,0.0,0,1
605.0,35.0,35.0,0.05,5.0,0.0,0,1
606.0,35.0,35.0,0.05,5.0,0.0,0,1
607.0,35.0,35.0,0.05,5.0,0.0,0,1
608.0,35.0,35.0,0.05,5.0,0.0,0,1
609.0,35.0,35.0,0.05,5.0,0.0,0,1
610.0,35.0,35.0,0.05,5.0,0.0,0,1
611.0,35.0,35.0,0.05,5.0,0.0,0,1
612.0,35.0,35.0,0.05,5.0,0.0,0,1
613.0,35.0,35.0,0.05,5.0,0.0,0,1
614.0,35.0,35.0,0.05,5.0,0.0,0,1
615.0,35.0,35.0,0.05,5.0,0.0,0,1
616.0,35.0,35.0,0.05,5.0,0.0,0,1
617.0,35.0,35.0,0.05,5.0,0.0,0,1
618.0,35.0,35.0,0.05,5.0,0.0,0,1
619.0,35.0,35.0,0.05,5.0,0.0,0,1
620.0,35.0,35.0,0.05,5.0,0.0,0,1
621.0,35.0,35.0,0.05,5.0,0.0,0,1
622.0,35.0,35.0,0.05,5.0,0.0,0,1
623.0,35.0,35.0,0.05,5.0,0.0,0,1
624.0,35.0,35.0,0.05,5.0,0.0,0,1
625.0,35.0,35.0,0.05,5.0,0.0,0,1
626.0,35.0,35.0,0.05,5.0,0.0,0,1
627.0,35.0,35.0,0.05,5.0,0.0,0,1
628.0,35.0,35.0,0.05,5.0,0.0,0,1
629.0,35.0,35.0,0.05,5.0,0.0,0,1
630.0,35.0,35.0,0.05,5.0,0.0,0,1
631.0,35.0,35.0,0.05,5.0,0.0,0,1
632.0,35.0,35.0,0.05,5.0,0.0,0,1
633.0,35.0,35.0,0.05,5.0,0.0,0,1
634.0,35.0,35.0,0.05,5.0,0.0,0,1
635.0,35.0,35.0,0.05,5.0,0.0,0,1
636.0,35.0,35.0,0.05,5.0,0.0,0,1
637.0,35.0,35.0,0.05,5.0,0.0,0,1
638.0,35.0,35.0,0.05,5.0,0.0,0,1
639.0,35.0,35.0,0.05,5.0,0.0,0,1
640.0,35.0,35.0,0.05,5.0,0.0,0,1
641.0,35.0,35.0,0.05,5.0,0.0,0,1
642.0,35.0,35.0,0.05,5.0,0.0,0,1
643.0,35.0,35.0,0.05,5.0,0.0,0,1
644.0,35.0,35.0,0.05,5.0,0.0,0,1
645.0,35.0,35.0,0.05,5.0,0.0,0,1
646.0,35.0,35.0,0.05,5.0,0.0,0,1
647.0,35.0,35.0,0.05,5.0,0.0,0,1
648.0,35.0,35.0,0.05,5.0,0.0,0,1
649.0,35.0,35.0,0.05,5.0,0.0,0,1
650.0,35.0,35.0,0.05,5.0,0.0,0,1
651.0,35.0,35.0,0.05,5.0,0.0,0,1
652.0,35.0,35.0,0.05,5.0,0.0,0,1
653.0,35.0,35.0,0.05,5.0,0.0,0,1
654.0,35.0,35.0,0.05,5.0,0.0,0,1
655.0,35.0,35.0,0.05,5.0,0.0,0,1
656.0,35.0,35.0,0.05,5.0,0.0,0,1
657.0,35.0,35.0,0.05,5.0,0.0,0,1
658.0,35.0,35.0,0.05,5.0,0.0,0,1
659.0,35.0,35.0,0.05,5.0,0.0,0,1
660.0,35.0,35.0,0.05,5.0,0.0,0,1
661.0,35.0,35.0,0.05,5.0,0.0,0,1
662.0,35.0,35.0,0.05,5.0,0.0,0,1
663.0,35.0,35.0,0.05,5.0,0.0,0,1
664.0,35.0,35.0,0.05,5.0,0.0,0,1
665.0,35.0,35.0,0.05,5.0,0.0,0,1
666.0,35.0,35.0,0.05,5.0,0.0,0,1
667.0,35.0,35.0,0.05,5.0,0.0,0,1
668.0,35.0,35.0,0.05,5.0,0.0,0,1
669.0,35.0,35.0,0.05,5.0,0.0,0,1
670.0,35.0,35.0,0.05,5.0,0.0,0,1
671.0,35.0,35.0,0.05,5.0,0.0,0,1
672.0,35.0,35.0,0.05,5.0,0.0,0,1
673.0,35.0,35.0,0.05,5.0,0.0,0,1
674.0,35.0,35.0,0.05,5.0,0.0,0,1
675.0,35.0,35.0,0.05,5.0,0.0,0,1
676.0,35.0,35.0,0.05,5.0,0.0,0,1
677.0,35.0,35.0,0.05,5.0,0.0,0,1
678.0,35.0,35.0,0.05,5.0,0.0,0,1
679.0,35.0,35.0,0.05,5.0,0.0,0,1
680.0,35.0,35.0,0.05,5.0,0.0,0,1
681.0,35.0,35.0,0.05,5.0,0.0,0,1
682.0,35.0,35.0,0.05,5.0,0.0,0,1
683.0,35.0,35.0,0.05,5.0,0.0,0,1
684.0,35.0,35.0,0.05,5.0,0.0,0,1
685.0,35.0,35.0,0.05,5.0,0.0,0,1
686.0,35.0,35.0,0.05,5.0,0.0,0,1
687.0,35.0,35.0,0.05,5.0,0.0,0,1
688.0,35.0,35.0,0.05,5.0,0.0,0,1
689.0,35.0,35.0,0.05,5.0,0.0,0,1
690.0,35.0,35.0,0.05,5.0,0.0,0,1
691.0,35.0,35.0,0.05,5.0,0.0,0,1
692.0,35.0,35.0,0.05,5.0,0.0,0,1
693.0,35.0,35.0,0.05,5.0,0.0,0,1
694.0,35.0,35.0,0.05,5.0,0.0,0,1
695.0,35.0,35.0,0.05,5.0,0.0,0,1
696.0,35.0,35.0,0.05,5.0,0.0,0,1
697.0,35.0,35.0,0.05,5.0,0.0,0,1
698.0,35.0,35.0,0.05,5.0,0.0,0,1
699.0,35.0,35.0,0.05,5.0,0.0,0,1
700.0,35.0,35.0,0.05,5.0,0.0,0,1
701.0,35.0,35.0,0.05,5.0,0.0,0,1
702.0,35.0,35.0,0.05,5.0,0.0,0,1
703.0,35.0,35.0,0.05,5.0,0.0,0,1
704.0,35.0,35.0,0.05,5.0,0.0,0,1
705.0,35.0,35.0,0.05,5.0,0.0,0,1
706.0,35.0,35.0,0.05,5.0,0.0,0,1
707.0,35.0,35.0,0.05,5.0,0.0,0,1
708.0,35.0,35.0,0.05,5.0,0.0,0,1
709.0,35.0,35.0,0.05,5.0,0.0,0,1
710.0,35.0,35.0,0.05,5.0,0.0,0,1
711.0,35.0,35.0,0.05,5.0,0.0,0,1
712.0,35.0,35.0,0.05,5.0,0.0,0,1
713.0,35.0,35.0,0.05,5.0,0.0,0,1
714.0,35.0,35.0,0.05,5.0,0.0,0,1
715.0,35.0,35.0,0.05,5.0,0.0,0,1
716.0,35.0,35.0,0.05,5.0,0.0,0,1
717.0,35.0,35.0,0.05,5.0,0.0,0,1
718.0,35.0,35.0,0.05,5.0,0.0,0,1
719.0,35.0,35.0,0.05,5.0,0.0,0,1
720.0,35.0,35.0,0.05,5.0,0.0,0,1
721.0,35.0,35.0,0.05,5.0,0.0,0,1
722.0,35.0,35.0,0.05,5.0,0.0,0,1
723.0,35.0,35.0,0.05,5.0,0.0,0,1
724.0,35.0,35.0,0.05,5.0,0.0,0,1
725.0,35.0,35.0,0.05,5.0,0.0,0,1
726.0,35.0,35.0,0.05,5.0,0.0,0,1
727.0,35.0,35.0,0.05,5.0,0.0,0,1
728.0,35.0,35.0,0.05,5.0,0.0,0,1
729.0,35.0,35.0,0.05,5.0,0.0,0,1
730.0,35.0,35.0,0.05,5.0,0.0,0,1
731.0,35.0,35.0,0.05,5.0,0.0,0,1
732.0,35.0,35.0,0.05,5.0,0.0,0,1
733.0,35.0,35.0,0.05,5.0,0.0,0,1
734.0,35.0,35.0,0.05,5.0,0.0,0,1
735.0,35.0,35.0,0.05,5.0,0.0,0,1
736.0,35.0,35.0,0.05,5.0,0.0,0,1
737.0,35.0,35.0,0.05,5.0,0.0,0,1
738.0,35.0,35.0,0.05,5.0,0.0,0,1
739.0,35.0,35.0,0.05,5.0,0.0,0,1
740.0,35.0,35.0,0.05,5.0,0.0,0,1
741.0,35.0,35.0,0.05,5.0,0.0,0,1
742.0,35.0,35.0,0.05,5.0,0.0,0,1
743.0,35.0,35.0,0.05,5.0,0.0,0,1
744.0,35.0,35.0,0.05,5.0,0.0,0,1
745.0,35.0,35.0,0.05,5.0,0.0,0,1
746.0,35.0,35.0,0.05,5.0,0.0,0,1
747.0,35.0,35.0,0.05,5.0,0.0,0,1
748.0,35.0,35.0,0.05,5.0,0.0,0,1
749.0,35.0,35.0,0.05,5.0,0.0,0,1
750.0,35.0,35.0,0.05,5.0,0.0,0,1
751.0,35.0,35.0,0.05,5.0,0.0,0,1
752.0,35.0,35.0,0.05,5.0,0.0,0,1
753.0,35.0,35.0,0.05,5.0,0.0,0,1
754.0,35.0,35.0,0.05,5.0,0.0,0,1
755.0,35.0,35.0,0.05,5.0,0.0,0,1
756.0,35.0,35.0,0.05,5.0,0.0,0,1
757.0,35.0,35.0,0.05,5.0,0.0,0,1
758.0,35.0,35.0,0.05,5.0,0.0,0,1
759.0,35.0,35.0,0.05,5.0,0.0,0,1
760.0,35.0,35.0,0.05,5.0,0.0,0,1
761.0,35.0,35.0,0.05,5.0,0.0,0,1
762.0,35.0,35.0,0.05,5.0,0.0,0,1
763.0,35.0,35.0,0.05,5.0,0.0,0,1
764.0,35.0,35.0,0.05,5.0,0.0,0,1
765.0,35.0,35.0,0.05,5.0,0.0,0,1
766.0,35.0,35.0,0.05,5.0,0.0,0,1
767.0,35.0,35.0,0.05,5.0,0.0,0,1
768.0,35.0,35.0,0.05,5.0,0.0,0,1
769.0,35.0,35.0,0.05,5.0,0.0,0,1
770.0,35.0,35.0,0.05,5.0,0.0,0,1
771.0,35.0,35.0,0.05,5.0,0.0,0,1
772.0,35.0,35.0,0.05,5.0,0.0,0,1
773.0,35.0,35.0,0.05,5.0,0.0,0,1
774.0,35.0,35.0,0.05,5.0,0.0,0,1
775.0,35.0,35.0,0.05,5.0,0.0,0,1
776.0,35.0,35.0,0.05,5.0,0.0,0,1
777.0,35.0,35.0,0.05,5.0,0.0,0,1
778.0,35.0,35.0,0.05,5.0,0.0,0,1
779.0,35.0,35.0,0.05,5.0,0.0,0,1
780.0,35.0,35.0,0.05,5.0,0.0,0,1
781.0,35.0,35.0,0.05,5.0,0.0,0,1
782.0,35.0,35.0,0.05,5.0,0.0,0,1
783.0,35.0,35.0,0.05,5.0,0.0,0,1
784.0,35.0,35.0,0.05,5.0,0.0,0,1
785.0,35.0,35.0,0.05,5.0,0.0,0,1
786.0,35.0,35.0,0.05,5.0,0.0,0,1
787.0,35.0,35.0,0.05,5.0,0.0,0,1
788.0,35.0,35.0,0.05,5.0,0.0,0,1
789.0,35.0,35.0,0.05,5.0,0.0,0,1
790.0,35.0,35.0,0.05,5.0,0.0,0,1
791.0,35.0,35.0,0.05,5.0,0.0,0,1
792.0,35.0,35.0,0.05,5.0,0.0,0,1
793.0,35.0,35.0,0.05,5.0,0.0,0,1
794.0,35.0,35.0,0.05,5.0,0.0,0,1
795.0,35.0,35.0,0.05,5.0,0.0,0,1
796.0,35.0,35.0,0.05,5.0,0.0,0,1
797.0,35.0,35.0,0.05,5.0,0.0,0,1
798.0,35.0,35.0,0.05,5.0,0.0,0,1
799.0,35.0,35.0,0.05,5.0,0.0,0,1
800.0,35.0,35.0,0.05,5.0,0.0,0,1
801.0,35.0,35.0,0.05,5.0,0.0,0,1
802.0,35.0,35.0,0.05,5.0,0.0,0,1
803.0,35.0,35.0,0.05,5.0,0.0,0,1
804.0,35.0,35.0,0.05,5.0,0.0,0,1
805.0,35.0,35.0,0.05,5.0,0.0,0,1
806.0,35.0,35.0,0.05,5.0,0.0,0,1
807.0,35.0,35.0,0.05,5.0,0.0,0,1
808.0,35.0,35.0,0.05,5.0,0.0,0,1
809.0,35.0,35.0,0.05,5.0,0.0,0,1
810.0,35.0,35.0,0.05,5.0,0.0,0,1
811.0,35.0,35.0,0.05,5.0,0.0,0,1
812.0,35.0,35.0,0.05,5.0,0.0,0,1
813.0,35.0,35.0,0.05,5.0,0.0,0,1
814.0,35.0,35.0,0.05,5.0,0.0,0,1
815.0,35.0,35.0,0.05,5.0,0.0,0,1
816.0,35.0,35.0,0.05,5.0,0.0,0,1
817.0,35.0,35.0,0.05,5.0,0.0,0,1
818.0,35.0,35.0,0.05,5.0,0.0,0,1
819.0,35.0,35.0,0.05,5.0,0.0,0,1
820.0,35.0,35.0,0.05,5.0,0.0,0,1
821.0,35.0,35.0,0.05,5.0,0.0,0,1
822.0,35.0,35.0,0.05,5.0,0.0,0,1
823.0,35.0,35.0,0.05,5.0,0.0,0,1
824.0,35.0,35.0,0.05,5.0,0.0,0,1
825.0,35.0,35.0,0.05,5.0,0.0,0,1
826.0,35.0,35.0,0.05,5.0,0.0,0,1
827.0,35.0,35.0,0.05,5.0,0.0,0,1
828.0,35.0,35.0,0.05,5.0,0.0,0,1
829.0,35.0,35.0,0.05,5.0,0.0,0,1
830.0,35.0,35.0,0.05,5.0,0.0,0,1
831.0,35.0,35.0,0.05,5.0,0.0,0,1
832.0,35.0,35.0,0.05,5.0,0.0,0,1
833.0,35.0,35.0,0.05,5.0,0.0,0,1
834.0,35.0,35.0,0.05,5.0,0.0,0,1
835.0,35.0,35.0,0.05,5.0,0.0,0,1
836.0,35.0,35.0,0.05,5.0,0.0,0,1
837.0,35.0,35.0,0.05,5.0,0.0,0,1
838.0,35.0,35.0,0.05,5.0,0.0,0,1
839.0,35.0,35.0,0.05,5.0,0.0,0,1
840.0,35.0,35.0,0.05,5.0,0.0,0,1
841.0,35.0,35.0,0.05,5.0,0.0,0,1
842.0,35.0,35.0,0.05,5.0,0.0,0,1
843.0,35.0,35.0,0.05,5.0,0.0,0,1
844.0,35.0,35.0,0.05,5.0,0.0,0,1
845.0,35.0,35.0,0.05,5.0,0.0,0,1
846.0,35.0,35.0,0.05,5.0,0.0,0,1
847.0,35.0,35.0,0.05,5.0,0.0,0,1
848.0,35.0,35.0,0.05,5.0,0.0,0,1
849.0,35.0,35.0,0.05,5.0,0.0,0,1
850.0,35.0,35.0,0.05,5.0,0.0,0,1
851.0,35.0,35.0,0.05,5.0,0.0,0,1
852.0,35.0,35.0,0.05,5.0,0.0,0,1
853.0,35.0,35.0,0.05,5.0,0.0,0,1
854.0,35.0,35.0,0.05,5.0,0.0,0,1
855.0,35.0,35.0,0.05,5.0,0.0,0,1
856.0,35.0,35.0,0.05,5.0,0.0,0,1
857.0,35.0,35.0,0.05,5.0,0.0,0,1
858.0,35.0,35.0,0.05,5.0,0.0,0,1
859.0,35.0,35.0,0.05,5.0,0.0,0,1
860.0,35.0,35.0,0.05,5.0,0.0,0,1
861.0,35.0,35.0,0.05,5.0,0.0,0,1
862.0,35.0,35.0,0.05,5.0,0.0,0,1
863.0,35.0,35.0,0.05,5.0,0.0,0,1
864.0,35.0,35.0,0.05,5.0,0.0,0,1
865.0,35.0,35.0,0.05,5.0,0.0,0,1
866.0,35.0,35.0,0.05,5.0,0.0,0,1
867.0,35.0,35.0,0.05,5.0,0.0,0,1
868.0,35.0,35.0,0.05,5.0,0.0,0,1
869.0,35.0,35.0,0.05,5.0,0.0,0,1
870.0,35.0,35.0,0.05,5.0,0.0,0,1
871.0,35.0,35.0,0.05,5.0,0.0,0,1
872.0,35.0,35.0,0.05,5.0,0.0,0,1
873.0,35.0,35.0,0.05,5.0,0.0,0,1
874.0,35.0,35.0,0.05,5.0,0.0,0,1
875.0,35.0,35.0,0.05,5.0,0.0,0,1
876.0,35.0,35.0,0.05,5.0,0.0,0,1
877.0,35.0,35.0,0.05,5.0,0.0,0,1
878.0,35.0,35.0,0.05,5.0,0.0,0,1
879.0,35.0,35.0,0.05,5.0,0.0,0,1
880.0,35.0,35.0,0.05,5.0,0.0,0,1
881.0,35.0,35.0,0.05,5.0,0.0,0,1
882.0,35.0,35.0,0.05,5.0,0.0,0,1
883.0,35.0,35.0,0.05,5.0,0.0,0,1
884.0,35.0,35.0,0.05,5.0,0.0,0,1
885.0,35.0,35.0,0.05,5.0,0.0,0,1
886.0,35.0,35.0,0.05,5.0,0.0,0,1
887.0,35.0,35.0,0.05,5.0,0.0,0,1
888.0,35.0,35.0,0.05,5.0,0.0,0,1
889.0,35.0,35.0,0.05,5.0,0.0,0,1
890.0,35.0,35.0,0.05,5.0,0.0,0,1
891.0,35.0,35.0,0.05,5.0,0.0,0,1
892.0,35.0,35.0,0.05,5.0,0.0,0,1
893.0,35.0,35.0,0.05,5.0,0.0,0,1
894.0,35.0,35.0,0.05,5.0,0.0,0,1
895.0,35.0,35.0,0.05,5.0,0.0,0,1
896.0,35.0,35.0,0.05,5.0,0.0,0,1
897.0,35.0,35.0,0.05,5.0,0.0,0,1
898.0,35.0,35.0,0.05,5.0,0.0,0,1
899.0,35.0,35.0,0.05,5.0,0.0,0,1
900.0,35.0,35.0,0.05,5.0,0.0,0,1
901.0,35.0,35.0,0.05,5.0,0.0,0,1
902.0,35.0,35.0,0.05,5.0,0.0,0,1
903.0,35.0,35.0,0.05,5.0,0.0,0,1
904.0,35.0,35.0,0.05,5.0,0.0,0,1
905.0,35.0,35.0,0.05,5.0,0.0,0,1
906.0,35.0,35.0,0.05,5.0,0.0,0,1
907.0,35.0,35.0,0.05,5.0,0.0,0,1
908.0,35.0,35.0,0.05,5.0,0.0,0,1
909.0,35.0,35.0,0.05,5.0,0.0,0,1
910.0,35.0,35.0,0.05,5.0,0.0,0,1
911.0,35.0,35.0,0.05,5.0,0.0,0,1
912.0,35.0,35.0,0.05,5.0,0.0,0,1
913.0,35.0,35.0,0.05,5.0,0.0,0,1
914.0,35.0,35.0,0.05,5.0,0.0,0,1
915.0,35.0,35.0,0.05,5.0,0.0,0,1
916.0,35.0,35.0,0.05,5.0,0.0,0,1
917.0,35.0,35.0,0.05,5.0,0.0,0,1
918.0,35.0,35.0,0.05,5.0,0.0,0,1
919.0,35.0,35.0,0.05,5.0,0.0,0,1
920.0,35.0,35.0,0.05,5.0,0.0,0,1
921.0,35.0,35.0,0.05,5.0,0.0,0,1
922.0,35.0,35.0,0.05,5.0,0.0,0,1
923.0,35.0,35.0,0.05,5.0,0.0,0,1
924.0,35.0,35.0,0.05,5.0,0.0,0,1
925.0,35.0,35.0,0.05,5.0,0.0,0,1
926.0,35.0,35.0,0.05,5.0,0.0,0,1
927.0,35.0,35.0,0.05,5.0,0.0,0,1
928.0,35.0,35.0,0.05,5.0,0.0,0,1
929.0,35.0,35.0,0.05,5.0,0.0,0,1
930.0,35.0,35.0,0.05,5.0,0.0,0,1
931.0,35.0,35.0,0.05,5.0,0.0,0,1
932.0,35.0,35.0,0.05,5.0,0.0,0,1
933.0,35.0,35.0,0.05,5.0,0.0,0,1
934.0,35.0,35.0,0.05,5.0,0.0,0,1
935.0,35.0,35.0,0.05,5.0,0.0,0,1
936.0,35.0,35.0,0.05,5.0,0.0,0,1
937.0,35.0,35.0,0.05,5.0,0.0,0,1
938.0,35.0,35.0,0.05,5.0,0.0,0,1
939.0,35.0,35.0,0.05,5.0,0.0,0,1
940.0,35.0,35.0,0.05,5.0,0.0,0,1
941.0,35.0,35.0,0.05,5.0,0.0,0,1
942.0,35.0,35.0,0.05,5.0,0.0,0,1
943.0,35.0,35.0,0.05,5.0,0.0,0,1
944.0,35.0,35.0,0.05,5.0,0.0,0,1
945.0,35.0,35.0,0.05,5.0,0.0,0,1
946.0,35.0,35.0,0.05,5.0,0.0,0,1
947.0,35.0,35.0,0.05,5.0,0.0,0,1
948.0,35.0,35.0,0.05,5.0,0.0,0,1
949.0,35.0,35.0,0.05,5.0,0.0,0,1
950.0,35.0,35.0,0.05,5.0,0.0,0,1
951.0,35.0,35.0,0.05,5.0,0.0,0,1
952.0,35.0,35.0,0.05,5.0,0.0,0,1
953.0,35.0,35.0,0.05,5.0,0.0,0,1
954.0,35.0,35.0,0.05,5.0,0.0,0,1
955.0,35.0,35.0,0.05,5.0,0.0,0,1
956.0,35.0,35.0,0.05,5.0,0.0,0,1
957.0,35.0,35.0,0.05,5.0,0.0,0,1
958.0,35.0,35.0,0.05,5.0,0.0,0,1
959.0,35.0,35.0,0.05,5.0,0.0,0,1
960.0,35.0,35.0,0.05,5.0,0.0,0,1
961.0,35.0,35.0,0.05,5.0,0.0,0,1
962.0,35.0,35.0,0.05,5.0,0.0,0,1
963.0,35.0,35.0,0.05,5.0,0.0,0,1
964.0,35.0,35.0,0.05,5.0,0.0,0,1
965.0,35.0,35.0,0.05,5.0,0.0,0,1
966.0,35.0,35.0,0.05,5.0,0.0,0,1
967.0,35.0,35.0,0.05,5.0,0.0,0,1
968.0,35.0,35.0,0.05,5.0,0.0,0,1
969.0,35.0,35.0,0.05,5.0,0.0,0,1
970.0,35.0,35.0,0.05,5.0,0.0,0,1
971.0,35.0,35.0,0.05,5.0,0.0,0,1
